station,thecount,stationid,lat,long,elevation,state,name
USC00248930,7
USC00250640,7
USC00264950,7
USC00265168,7
USC00272999,7
USC00280734,7
USC00281582,7
USC00283029,7
USC00283951,7
USC00284229,7
USC00285728,7
USC00286055,7
USC00287079,7
USC00290692,7
USC00290858,7
USC00291515,7
USC00291664,7
USC00293265,7
USC00293294,7
USC00294369,7
USC00294862,7
USC00295150,7
USC00295965,7
USC00297867,7
USC00298107,7
USC00298501,7
USC00299156,7
USC00300093,7
USC00301752,7
USC00302129,7
USC00304555,7
USC00305113,7
USC00306314,7
USC00307633,7
USC00308910,7
USC00310090,7
USC00311677,7
USC00312635,7
USC00312719,7
USC00313017,7
USC00313969,7
USC00313976,7
USC00314684,7
USC00314938,7
USC00315123,7
USC00315177,7
USC00315340,7
USC00315356,7
USC00315771,7
USC00315838,7
USC00315890,7
USC00317202,7
USC00317615,7
USC00317994,7
USC00318292,7
USC00318500,7
USC00319476,7
USC00322188,7
USC00331592,7
USC00331890,7
USC00333758,7
USC00335041,7
USC00336781,7
USC00338830,7
USC00340017,7
USC00340593,7
USC00340908,7
USC00341504,7
USC00341724,7
USC00341828,7
USC00342912,7
USC00342944,7
USC00343497,7
USC00343628,7
USC00343821,7
USC00343871,7
USC00344055,7
USC00344235,7
USC00344298,7
USC00344573,7
USC00344766,7
USC00344861,7
USC00345063,7
USC00345779,7
USC00345855,7
USC00346130,7
USC00346139,7
USC00346278,7
USC00346629,7
USC00346638,7
USC00346670,7
USC00346935,7
USC00347012,7
USC00348501,7
USC00348677,7
USC00349422,7
USC00349445,7
USC00351946,7
USC00352440,7
USC00353095,7
USC00353847,7
USC00354506,7
USC00354670,7
USC00358746,7
USC00361354,7
USC00362537,7
USC00364385,7
USC00364896,7
USC00365915,7
USC00366689,7
USC00367322,7
USC00369050,7
USC00369408,7
USC00369464,7
USC00369933,7
USC00380165,7
USC00381277,7
USC00381310,7
USC00381588,7
USC00381770,7
USC00383754,7
USC00384690,7
USC00385017,7
USC00385200,7
USC00387722,7
USC00388887,7
USC00389327,7
USC00389350,7
USC00394007,7
USC00401790,7
USC00402024,7
USC00402108,7
USC00402489,7
USC00402589,7
USC00404561,7
USC00405187,7
USC00405882,7
USC00406371,7
USC00406534,7
USC00407884,7
USC00409155,7
USC00409219,7
USC00409502,7
USC00411000,7
USC00415875,7
USC00416135,7
USC00417079,7
USC00418692,7
USC00420788,7
USC00422592,7
USC00423418,7
USC00424508,7
USC00424856,7
USC00425733,7
USC00427559,7
USC00429595,7
USC00437612,7
USC00440993,7
USC00441593,7
USC00442245,7
USC00442941,7
USC00443192,7
USC00444101,7
USC00444876,7
USC00446626,7
USC00447338,7
USC00449151,7
USC00451666,7
USC00452007,7
USC00452030,7
USC00456610,7
USC00461220,7
USC00461330,7
USC00465224,7
USC00465626,7
USC00466989,7
USC00469368,7
USC00469610,7
USC00469683,7
USC00476922,7
USC00482715,7
USC00483100,7
USC00485345,7
USW00003870,7
USW00003959,7
USW00004725,7
USW00013713,7
USW00013737,7
USW00013896,7
USW00013980,7
USW00014737,7
USW00014764,7
USW00023051,7
USW00023170,7
USW00024022,7
USW00024130,7
USW00024137,7
USW00024143,7
USW00024149,7
USW00024157,7
USW00024160,7
USW00093784,7
USW00093808,7
USW00093986,7
USW00094728,7
USC00023596,8
USC00029359,8
USC00041758,8
USC00041912,8
USC00042239,8
USC00045983,8
USC00047195,8
USC00048702,8
USC00049855,8
USC00049866,8
USC00050848,8
USC00051294,8
USC00051528,8
USC00051564,8
USC00052281,8
USC00053005,8
USC00053038,8
USC00053951,8
USC00058204,8
USC00058429,8
USC00059243,8
USC00072730,8
USC00073595,8
USC00075915,8
USC00076410,8
USC00101956,8
USC00104831,8
USC00125237,8
USC00145856,8
USC00145906,8
USC00147093,8
USC00153028,8
USC00172426,8
USC00180700,8
USC00181750,8
USC00185985,8
USC00187806,8
USC00196486,8
USC00196681,8
USC00199316,8
USC00202737,8
USC00230204,8
USC00231711,8
USC00235834,8
USC00240364,8
USC00241552,8
USC00243885,8
USC00246157,8
USC00251145,8
USC00252100,8
USC00254110,8
USC00254440,8
USC00254900,8
USC00255310,8
USC00260507,8
USC00262780,8
USC00263245,8
USC00264698,8
USC00284987,8
USC00288816,8
USC00291813,8
USC00292608,8
USC00295273,8
USC00297323,8
USC00304102,8
USC00308248,8
USC00319147,8
USC00350304,8
USC00351765,8
USC00352406,8
USC00353445,8
USC00353827,8
USC00355162,8
USC00355362,8
USC00355593,8
USC00355734,8
USC00356426,8
USC00356634,8
USC00356883,8
USC00356907,8
USC00357169,8
USC00357331,8
USC00374266,8
USC00402202,8
USC00420738,8
USC00425477,8
USC00426601,8
USC00426686,8
USC00427260,8
USC00440766,8
USC00442208,8
USC00444128,8
USC00444909,8
USC00446712,8
USC00448062,8
USC00449263,8
USC00451504,8
USC00454154,8
USC00456789,8
USC00463544,8
USC00466867,8
USC00467029,8
USC00468384,8
USC00488995,8
USC00489615,8
USW00013734,8
USW00014765,8
USW00023177,8
USW00023185,8
USW00024119,8
USW00024128,8
USW00093729,8
USW00094793,8
USC00023160,9
USC00044713,9
USC00047902,9
